"Super Albatross / SUPERアルバトロス","super-albatross","JP","CD",1989,"Laser Soft, Telenet Japan / レーザーソフト, 日本テレネット"
"Super Darius / スーパーダライアス","super-darius","JP","CD",1990,"NEC Avenue/Taito / NECアベニュー/タイトー"
"Tengai Makyou - Far East Of Eden - Ziria / 天外魔境 ZIRIA","tengai-makyou-far-east-of-eden-ziria","JP","CD",1989,"Hudson / ハドソン"
"The Manhole / マンホール","the-manhole","JP","CD",1991,"Sunsoft (Sun Electronics)/Activision / サンソフト（サン電子）/アクティビジョン"
"Urusei Yatsura - Stay with you / うる星やつら ☆STAY WITH YOU☆","urusei-yatsura-stay-with-you","JP","CD",1990,"Hudson / ハドソン"
"Urusei Yatsura - Stay with you & Hudson CD-ROM² / うる星やつら ☆STAY WITH YOU☆& ハドソンCD-ROM²音楽全集","urusei-yatsura-stay-with-you-&-hudson-cd-rom²","JP","CD",1990,"Hudson / ハドソン"
"Valis II -  The Fantasm Soldier / ヴァリスII THE FANTASM SOLDIER","valis-ii--the-fantasm-soldier","JP","CD",1989,"Laser Soft, Telenet Japan / レーザーソフト, 日本テレネット"
"Valis III - The Fantasm Soldier / ヴァリスIII THE FANTASM SOLDIER","valis-iii-the-fantasm-soldier","JP","CD",1990,"Laser Soft, Telenet Japan / レーザーソフト, 日本テレネット"
"Valis IV - The Fantasm Soldier / ヴァリスIV THE FANTASM SOLDIER","valis-iv-the-fantasm-soldier","JP","CD",1991,"Laser Soft, Telenet Japan / レーザーソフト, 日本テレネット"
"Where In The World Is Carmen Sandiego ? / カルメンサンディエゴを追え！ 世界編","where-in-the-world-is-carmen-sandiego-?","JP","CD",1990,"Pack-In-Video / パック・イン・ビデオ"
"Wonder Boy III - Monster Lair / ワンダーボーイIII モンスター・レアー","wonder-boy-iii-monster-lair","JP","CD",1989,"Hudson/Alfa System / ハドソン/アルファ・システム"
"Ys I & II - Ancient Ys Vanished / イースI・II","ys-i-&-ii-ancient-ys-vanished","JP","CD",1989,"Hudson/Alfa System/Falcom / ハドソン/アルファ・システム/日本ファルコム"
"Zero Wing / ゼロウイング","zero-wing","JP","CD",1992,"naxat/Toaplan / ナグザット/東亜プラン"
"3x3 Eyes / 3X3EYES ～三只眼燮成～ サザン アイズ","3x3-eyes","JP","SCD",1994,"NEC Home Electronics/Nihon Create / NECホームエレクトロニクス/日本クリエイト"
"Advanced V.G. / アドヴァンスド ヴァリアブル・ジオ","advanced-v.g.","JP","SCD",1994,"TGL (Technical Group Laboratory)/GIGA / テイジイエル/戯画"
"Ai Chouaniki / 愛・超兄貴","ai-chouaniki","JP","SCD",1995,"Masaya (NCS) / メサイヤ（日本コンピューターシステム）"
"Akumajou Dracula X - Chi No Rondo / 悪魔城ドラキュラX 血の輪廻","akumajou-dracula-x-chi-no-rondo","JP","SCD",1993,"Konami / コナミ"
"Ane-san / 姐 (あねさん)","ane-san","JP","SCD",1995,"NEC Avenue / NECアベニュー"
"Arunamu No Kiba Juuzokujuu Nishinto Densetsu / アルナムの牙 獣族十二神徒伝説","arunamu-no-kiba-juuzokujuu-nishinto-densetsu","JP","SCD",1994,"Right Stuff / ライトスタッフ"
"Asuka 120% Maxima Burning Fest. / あすか120％マキシマ BURNING Fest.","asuka-120%-maxima-burning-fest.","JP","SCD",1995,"NEC Avenue/Fill in Cafe, Family Soft / NECアベニュー/フィルインカフェ, ファミリーソフト"
"Atlas - The Renaissance Voyager / アトラス","atlas-the-renaissance-voyager","JP","SCD",1994,"Artdink / アートディンク"
